Date,Open,High,Low,Close
01-01-1990,,,,783.35
02-01-1990,,,,780.01
03-01-1990,,,,763.22
04-01-1990,,,,760.8
05-01-1990,,,,774.58
08-01-1990,,,,778.33
09-01-1990,,,,774.5
10-01-1990,,,,782.48
11-01-1990,,,,780.34
15-01-1990,,,,763.55
16-01-1990,,,,755.58
17-01-1990,,,,745.19
18-01-1990,,,,738.58
19-01-1990,,,,710.75
22-01-1990,,,,706.85
23-01-1990,,,,722.01
24-01-1990,,,,718.95
25-01-1990,,,,716.23
30-01-1990,,,,701.08
31-01-1990,,,,683.32
